ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Reviewer,"Review


Incomplete data"
31-61,31/03/23 16:43:12,https://twitter.com/VincegDelgado/status/951221523662057473,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@VincegDelgado,Bee Scent Tea,"A father, a Mentor, a Student, and I make change!",,17/06/2023 00:00:00,405,7,"The Global City, Taguig",correct! y shud he? he is our genuine VP not the #fakeVP. Our #fakeVP is in the office (for now) by means of chouse!,,"Text, Reply",10/01/18 22:37,,Rational,1,0,1,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,"mislabeled
incorrect format"
31-62,31/03/23 16:43:12,https://twitter.com/maria47215/status/954161240569389056,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@maria47215,シャネル,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",,14/07/2023 00:00:00,"3,151","1,949",Fashion Company,"People of the Philippines  speaks 
@lenirobredo
 you are #FakeVp #Fake as Louis Vuitton fake ",,"Text, Reply, Image",19/01/2018 01:19:01,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-63,31/03/23 16:43:12,https://twitter.com/ArmonkBurgers/status/954905145032302592,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ArmonkBurgers,PinayAko Beshie,I Hate Drugs! Put%&ina!,,12/04/2023 0:00:00,49,137,"Manila City, National Capital Region","let me correct myself people didn’t vote 
@lenirobredo
 PICOS did! So no worries when it comes to her she never won in the first place #cheater #fakevp",,"Text, Reply",21/01/2018 02:35:02,,Rational,1,0,1,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-64,31/03/23 16:43:12,https://twitter.com/maria47215/status/955391771147563009,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@maria47215,シャネル,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",,14/07/2023 00:00:00,"3,151","1,949",Fashion Company,"Hipocrita ka 
@lenirobredo
 #Fakevp fake as Louis Vuitton fake #LiberalPartyYellowshitsNeverAgain ",,"Text, Reply",22/01/2018 10:48:43,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},Not real location,Pesky-Starfish,incorrect format
31-65,31/03/23 16:43:12,https://twitter.com/maria47215/status/955431017069727745,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@maria47215,シャネル,"Great is the LORD, and greatly to be praised; and his greatness is unsearchable. PSALMS 145:3   CHURCH OF GOD - ACTS 20:28",,14/07/2023 00:00:00,"3,151","1,949",Fashion Company,"Totoo talaga na #FakeVp Ka 
@lenirobredo
 #LiberalPartyYellowshitsNeverAgain  FAKE as fake Louis Vuitton",,"Text, Reply",22/01/2018 13:24:40,,Emotional,1,0,2,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},Not real location,Pesky-Starfish,incorrect format
31-66,31/03/23 16:43:12,https://twitter.com/NorthStur/status/955990564222226437,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@NorthStur,Northstar,networker,,12/08/2023 0:00:00,403,47,Zamboanga City,abangan ang update sa zombie na naka boto para kay #FakeVP https://fb.me/7nLFUVWmH,,"Text, URL",24/01/2018 02:28:06,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-67,31/03/23 16:43:12,https://twitter.com/ayen_pineda/status/957395917744750592,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ayen_pineda,Ayen Rheyn,"I am flexible
Proud Ilocana",,18/01/2023 00:00:00,214,102,"Wan Chai District, Hong Kong","uh oh...I am proud to be a DH.Marangal ang trabaho ko, wala akong inaapakang tao, di ako nagnanakaw.Nakakatulong ako sa bansa.
Ikaw po, nakakatulong ka ba?
..Anyway, back to fake VP, puro lang sya pakitang tao.Magnanakaw ng boto.Ang kapal ng mukha.
#fakeVP
#BBMtherealVP",,"Text, Reply",27/01/2018 23:32:29,,Emotional,0,1,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-68,31/03/23 16:43:12,https://twitter.com/ruemao/status/957780900716077056,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ruemao,Ruemao,,,17/03/2023 00:00:00,659,27,,Sinong maniniwalang 14 million+ ang bumoto kay LENI? Mantakin nyo 2 million lng lamang ni PRRD sa kanya in terms of numbers #FAKEVP,,"Text, Reply",29/01/2018 01:02:16,,Rational,0,0,3,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},No bio and location,Pesky-Starfish,incorrect format
31-69,31/03/23 16:43:12,https://twitter.com/Tokseeeek/status/960297555685879808,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@Tokseeeek,Elmore Toque,IG: _toks_,,15/01/2023 00:00:00,144,31,National Capital Region,"@lenirobredo
 @VPPilipinas
 is #FakeVP ano p aasahan mo sa peke? Boto nga ninakaw, kaban ng bayan pa kaya?",,"Text, Reply",04/02/18 23:42,,Rational,2,0,4,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-70,31/03/23 16:43:12,https://twitter.com/FatmahNour/status/961202413104455681,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@FatmahNour,Faizah Nour Mehmood,Daughter. Sister. Wife. Friend. OFW. Muslima.,,13/03/2023 00:00:00,133,9,Republic of the Philippines,She signing?!? Are you kidding?? It is as if slitting her own throat if she do that! chos! #fakeVP #BBMthenewVP #fottherecount #,,"Text, Reply",07/02/18 11:38,,Emotional,2,0,3,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-71,31/03/23 16:43:12,https://twitter.com/ThyzenKingTrix/status/961382119384723456,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ThyzenKingTrix,SilentROAR,ROAR,,15/07/2023 00:00:00,602,222,,"Kung totoong nanalo si madam dapat wala syang takot na ipaulit ang pagbilang o #recount. Kasi kung sa #recount ay sya padin ang nanalo, abay KAHIYAHIYA si #BBM. Pero bakit parang ayaw ni madam ng #recount? May MALALAMAN ba kaya tayong bago? #FakeVP #recount #VPBBM 
@Fitch1124",,"Text, Reply",07/02/18 23:32,,Rational,0,0,1,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},No location,Pesky-Starfish,incorrect format
31-72,31/03/23 16:43:12,https://twitter.com/tinkerbeen/status/961917423615029248,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@tinkerbeen,tinkerbee,,,14/08/2023 00:00:00,60,413,,Leni Robredo just accused BBM of pulling off publicity stunts. LOL. They're so used to accusing others of crimes that they themselves committed. #Recount #StartTheRecount #ElectoralFraud #FakeVP,,Text,02/09/18 10:59,,Rational,0,0,1,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},No bio and location,Pesky-Starfish,incorrect format
31-73,31/03/23 16:43:12,https://twitter.com/jfyjuico/status/963322672540139521,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@jfyjuico,Jeff Juico,"A mentor that believes...Teaching middle school is like a walk in the park, but...Jurassic Park.",,15/09/2023 00:00:00,"1,377","1,383","California, USA","Big contrast indeed, PRRD is working hardto improve everybody’s life while the VP is doing photo op to improve her image tainted by cheatingin the election #notoyellow #fakevp",,"Text, Reply",02/13/18 8:03,,Rational,0,1,1,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-74,31/03/23 16:43:12,https://twitter.com/TigerbasRichard/status/964435023792291840,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@TigerbasRichard,Kooyangi & Hachi,"Just give me a book to read and coffee, then i'll keep quiet .....unless you want some loving",,15/10/2023 00:00:00,652,"1,266",Paranaque City,Fuck Leni and all her ideas! #FakeVP #VPRecountNow,,"Text, Reply",02/16/18 9:43,,Emotional,1,0,5,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-75,31/03/23 16:43:12,https://twitter.com/YukiShiroMirai/status/968900980237516800,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@YukiShiroMirai,ᜌᜓᜃᜒᜐ᜔ᜑᜒᜇᜓᜐᜓᜊᜁᜒᜇ,#Anime #Manga #Hobby #Loli,,16/09/2023 00:00:00,"2,770",225,Maharlika,"She doesn't even know what Federalism is all about she doesn't deserve to be a true VP and plus she's a CHEATER.
#RecountOrResign
#FakeVP 
#Lugaw",,"Text, Reply",02/28/18 17:29,,Emotional,0,0,2,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-76,31/03/23 16:43:12,https://twitter.com/EddieQuyo/status/969271932494336000,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@EddieQuyo,Gregorio del Pilar_____SFO,Frustrated Doc ex-US Army Airborne Ranger combat medic radiologic tech by profession bowler WARRIORS authentic fan MARCOS loyalist!!!,,15/02/2023 00:00:00,513,398,"California, USA",Hangg’at hindi umupo si BBM siya ay walang humpay na tawaging #FakeVp,,"Text, Reply",03/01/18 18:03,,Emotional,1,0,4,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-77,16/03/2023 15:4:00,https://twitter.com/tapatnapilipino/status/969632904501387264,31,"De Castro, Hans Gabriel",RBRD,Leni Robredo cheated during the 2016 General Election,"fakevp, leni mandaraya, 2016 election, leni mandaraya 2016",@tapatnapilipino,"TapatNaPilipino(TNP)
","Ang naninira sa gobyerno ay kasiraan sa Lahing Pilipino, katulad din ng pagaakusa na di mapatunayan, kaya dapat sila ay nasa bilangguan habangbuhay.
",Anonymous,04/23,58,317,Sa Puso ng Pilipinas,"LP mandaraya sa election...imagine si Franklin Drillon naka-18M votes, si Joel Villanueva, Kiko, De Lima,? Yan lang ay patunay na malawakan ang pandaraya ng LP last 2016 election. Walang may gusto sa kanila pero nanalo. Paano na si Leni Robredo na hindi naman kilala ng Pilipinas",,Text,03/03/18 1:57,,rational,23,0,11,1,,,PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},Not real location,Pesky-Starfish,incorrect format
31-78,31/03/23 16:43:12,https://twitter.com/ailec_0/status/970231348391706624,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ailec_0,Ailec Etazla,"Lyceum of the Philippines   OFW, Fashion Consultant, Dog lovers, Best Friend to Yabri and Tillah, Generous, Jetsetter, trying hard trendsetter",,14/09/2023 00:00:00,85,112,,tama ka #fakevp talagang di maganda kung ala na tiwal sayo ang mga tao. pero never namin pinagkatiwalaan ka. #mandarayasaelection,,"Text, Reply",03/04/18 9:35,,Rational,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-79,31/03/23 16:43:12,https://twitter.com/Ilokosboy/status/971215081265491968,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@Ilokosboy,hen. del Pilar,"Modern day version of the brave hero Gregorio del Pilar, who perished in Tirad Pass I’m for truth & fairness for common good & eradicate evils of society",,17/05/2023 00:00:00,397,271,"California, USA","I’d agree, but then again, Noynoy appointed Sereno as CJ, Conching Carpio-Morales to Sandigan Bayan, Bautista as Comelec chairman, to manipulate everything including cheating to seat a #FakeVp to regain power & to absolve them in corruption lawsuits! So it’s looking ahead!!!",,"Text, Reply",03/07/18 2:44,,Rational,3,1,5,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Pesky-Starfish,incorrect format
31-80,31/03/23 16:43:12,https://twitter.com/ngiruf/status/971410389782024194,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ngiruf,Bran Frish,"A  , random shit",,10/06/2023 0:00:00,50,44,Singapore,#fakeVP ka talaga!!!,,Text,03/07/18 15:40,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-81,31/03/23 16:43:12,https://twitter.com/EddieQuyo/status/972207666742280192,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@EddieQuyo,Gregorio del Pilar_____SFO,Frustrated Doc ex-US Army Airborne Ranger combat medic radiologic tech by profession bowler WARRIORS authentic fan MARCOS loyalist!!!,,15/02/2023 00:00:00,513,398,"California, USA","They couldn’t do anything against Duterte bec the Fil public embraced him warmly as was shown in the campaign trail! So they instructed Smartmatic to do hocus pocus on the VP race, & so we have a #fakeVP",,"Text, Reply",03/09/18 20:29,,Rational,3,0,12,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-82,31/03/23 16:43:12,https://twitter.com/JGimoro/status/976415441861074944,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@JGimoro,DU30BBM Solid 日本™,鳴く猫はねずみを捕らぬ なくねこはねずみをとらぬ (naku neko wa nezumi o toranu),,17/08/2023 00:00:00,263,965,東京練馬区,"#Correction po Madam  #FakeVP , kayo po ay well oiled PCOS machine choice at napansin ko rin na mukhang hindi nya alam ang meaning ng  #infrastructure! 
#FakeFakeMoLeni",,"Text, Image",03/21/18 11:09,,Rational,18,9,34,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-83,31/03/23 16:43:12,https://twitter.com/K_K17K/status/977926782916616193,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@K_K17K,KKK,If silence is golden then humility is platinum,,17/03/2023 00:00:00,23,46,Mountains,Meron pa po multo  ang bumoto sa #fakeVP ..sobra talaga pagkakasemento ng mukha ni Aling Leni,,"Text, Reply",03/25/18 15:14,,Rational,0,0,0,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-84,31/03/23 16:43:12,https://twitter.com/okincallejo/status/978781841510383616,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@okincallejo,Nikko Callejo,I'm here to avoid my Facebook friends.,,11/04/2023 0:00:00,239,188,"Makati City, National Capital","Di ka ba nalulungkot, nababahala o nangangamba sa napakalaking bilang ng di naniniwala na hindi ikaw ang Vice President, Aling Leni Robredo? #FakeVP",,"Text, Reply",03/27/18 23:52,,Emotional,0,0,6,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-85,16/03/2023 14:52:00,https://twitter.com/tapatnapilipino/status/960217930712604672,31,"De Castro, Hans Gabriel",RBRD,Leni Robredo cheated during the 2016 General Election,"fakevp, leni mandaraya, 2016 election, leni mandaraya 2016",@tapatnapilipino,"TapatNaPilipino(TNP)
","Ang naninira sa gobyerno ay kasiraan sa Lahing Pilipino, katulad din ng pagaakusa na di mapatunayan, kaya dapat sila ay nasa bilangguan habangbuhay.
",Anonymous,04/23,58,317,Sa Puso ng Pilipinas,"Itapon na ang MANDARAYA sa election na si LENI ROBREDO. 
@lenirobredo
 NINAKAW mo ang BOTO ko nung 2016.",,"Text, Reply",02/04/18 2:26,,Emotional,0,0,0,,,,PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},Not real location,Sleek-Dove,"Google sheet error, Incorrect format"
31-86,31/03/23 16:43:12,https://twitter.com/Ilokosboy/status/980724289446948864,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@Ilokosboy,hen. del Pilar,"Modern day version of the brave hero Gregorio del Pilar, who perished in Tirad Pass I’m for truth & fairness for common good & eradicate evils of society",,17/05/2023 00:00:00,397,271,"California, USA",#WellOiledRecount favoring a #FakeVP,,Text,04/02/18 8:31,,Rational,0,0,0,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-87,31/03/23 16:43:12,https://twitter.com/EddieQuyo/status/980742267961884672,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@EddieQuyo,Gregorio del Pilar_____SFO,Frustrated Doc ex-US Army Airborne Ranger combat medic radiologic tech by profession bowler WARRIORS authentic fan MARCOS loyalist!!!,,15/02/2023 00:00:00,513,398,"California, USA","The hypocrite #FakeVP soliciting the help of St Scho nuns in the #recount issue! 
@lenirobredo
 isa kang Hudas Iskaryote! God knows Hudas the cheating!!!",,Text,04/02/18 9:42,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-88,31/03/23 16:43:12,https://twitter.com/EddieQuyo/status/980746438043824129,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@EddieQuyo,Gregorio del Pilar_____SFO,Frustrated Doc ex-US Army Airborne Ranger combat medic radiologic tech by profession bowler WARRIORS authentic fan MARCOS loyalist!!!,,15/02/2023 00:00:00,513,398,"California, USA","Sinong ginagago ni Atty. Makalintal? That there’s beauty in the automated election system, eh ginamit nga ang hocus PCOS! Tanga ka naman Makalinta isauli mo license mo! Gaya ng kliyente mong #FakeVP",,Text,04/02/18 9:59,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-89,31/03/23 16:43:12,https://twitter.com/londz_67/status/980758310293979136,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@londz_67,londz_67,i am a filipino. fight!,,18/02/2023 00:00:00,21,8,,"#fakevp
#lugawqueen
#BBMTheRealVP 
#BBMtheOnlyLegitimateVP 
#paraparaan
#galawangdilawan",,"Text, Reply",04/02/18 10:46,,Emotional,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-90,31/03/23 16:43:12,https://twitter.com/ThyzenKingTrix/status/980864148895682561,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@ThyzenKingTrix,SilentROAR,ROAR,,15/07/2023 00:00:00,602,222,,"#BBMTheRealVP!!

Leni is #FakeVP",,Quote tweet,04/02/18 17:46,,Emotional,0,0,1,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data, Mislabeled"
31-91,31/03/23 16:43:12,https://twitter.com/MakDyawrige/status/981014109511536640,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@MakDyawrige,Marko Dyawrige,Tech-Savvy. Consultant and a Salesforce Certified Administrator.,,09/12/2023 0:00:00,"1,280",683,"Manila, Philippines",Laban sa kasinungalingan #FakeNews #FakeVP,,"Text, Reply",04/03/18 3:42,,Rational,0,0,0,0,,,The hashtag is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
31-92,31/03/23 16:43:12,https://twitter.com/LTCserdeeeb/status/981015531900747776,31,"De Castro, Hans Gabriel",RBRD,Leni cheated during the 2016 General Election,"fakevp, mandaraya, 2016, leni, cheater, vp, robredo",@LTCserdeeeb,Deeeb,"ALS coordinator by day; stargazer by night, pizza expert, rocketship builder, PhilantroFIST by seldom. And i ain’t singing in the shower.",,13/08/2023 00:00:00,630,173,Education,Ang manual recount karon sa VP . . basa ang ubang ballots. FISHY kaayo 2yrs. nilabay naa sa ballot boxes daun basa pa karon? wala lugar nauga? laaams naah! #fakeVP,,Text,04/03/18 3:48,,Emotional,0,0,0,0,,,The tweet is a mis/disinformation since PET junks the electoral protest of Marcos Jr. against Robredo since Marcos failed to prove his case that there was massive cheating in the 2016 elections [https://pressone.ph/fact-check-2016-vice-presidency-was-not-stolen-from-marcos/},,Sleek-Dove,"Google sheet error, Incorrect format, Incomplete data"
